Line  2349:  Exterior Wall:  EL2 North Wall (G.SSE2.E4)
Line  2355:  Window:  EL2 North Win (G.SSE2.E4.W1)
Line  2369:  Interior Wall:  EL2 West Wall (G.SSE2.I5)
Line  2375:  Exterior Wall:  EL2 South Wall (G.SSE2.E5)
Line  2381:  Window:  EL2 South Win (G.SSE2.E5.W1)
Line  2395:  Interior Wall:  EL2 Ceiling (G.SSE2.I6)
Line  2408:  Space:  EL2 East Perim Spc (G.E3)
Line  2437:  Interior Wall:  EL2 Flr (G.E3.I7)
Line  2443:  Exterior Wall:  EL2 East Wall (G.E3.E6)
Line  2449:  Window:  EL2 East Win (G.E3.E6.W1)
Line  2463:  Interior Wall:  EL2 North Wall (G.E3.I8)
Line  2469:  Interior Wall:  EL2 South Wall (G.E3.I9)
Line  2475:  Interior Wall:  EL2 Ceiling (G.E3.I10)
Line  2488:  Space:  EL2 ENE Perim Spc (G.ENE4)
Line  2517:  Interior Wall:  EL2 Flr (G.ENE4.I11)
Line  2523:  Exterior Wall:  EL2 North Wall (G.ENE4.E7)
Line  2529:  Window:  EL2 North Win (G.ENE4.E7.W1)
Line  2543:  Interior Wall:  EL2 West Wall (G.ENE4.I12)
Line  2549:  Interior Wall:  EL2 South Wall (G.ENE4.I13)
Line  2555:  Exterior Wall:  EL2 East Wall (G.ENE4.E8)
Line  2561:  Window:  EL2 East Win (G.ENE4.E8.W1)
Line  2575:  Interior Wall:  EL2 Ceiling (G.ENE4.I14)
Line  2588:  Space:  EL2 North Perim Spc (G.N5)
Line  2619:  Interior Wall:  EL2 Flr (G.N5.I15)
Line  2625:  Exterior Wall:  EL2 North Wall (G.N5.E9)
Line  2631:  Window:  EL2 North Win (G.N5.E9.W1)
Line  2645:  Interior Wall:  EL2 West Wall (G.N5.I16)
Line  2651:  Interior Wall:  EL2 South Wall (G.N5.I17)
Line  2657:  Interior Wall:  EL2 Ceiling (G.N5.I18)
Line  2670:  Space:  EL2 North Perim Spc (G.N6)
Line  2701:  Interior Wall:  EL2 Flr (G.N6.I19)
Line  2707:  Interior Wall:  EL2 South Wall (G.N6.I20)
Line  2713:  Exterior Wall:  EL2 North Wall (G.N6.E10)
Line  2719:  Window:  EL2 North Win (G.N6.E10.W1)
Line  2733:  Interior Wall:  EL2 Ceiling (G.N6.I21)
Line  2746:  Space:  EL2 North Perim Spc (G.N7)
Line  2777:  Interior Wall:  EL2 Flr (G.N7.I22)
Line  2783:  Exterior Wall:  EL2 North Wall (G.N7.E11)
Line  2789:  Window:  EL2 North Win (G.N7.E11.W1)
Line  2803:  Interior Wall:  EL2 West Wall (G.N7.I23)
Line  2809:  Interior Wall:  EL2 South Wall (G.N7.I24)
Line  2815:  Interior Wall:  EL2 Ceiling (G.N7.I25)
Line  2828:  Space:  EL2 North Perim Spc (G.N8)
Line  2859:  Interior Wall:  EL2 Flr (G.N8.I26)
Line  2865:  Exterior Wall:  EL2 North Wall (G.N8.E12)
Line  2871:  Window:  EL2 North Win (G.N8.E12.W1)
Line  2885:  Interior Wall:  EL2 South Wall (G.N8.I27)
Line  2891:  Interior Wall:  EL2 Ceiling (G.N8.I28)
Line  2908:  Space:  EL2 WSW Perim Spc (G.WSW9)
Line  2937:  Interior Wall:  EL2 Flr (G.WSW9.I29)
Line  2943:  Exterior Wall:  EL2 West Wall (G.WSW9.E13)
Line  2949:  Window:  EL2 West Win (G.WSW9.E13.W1)
Line  2963:  Exterior Wall:  EL2 South Wall (G.WSW9.E14)
Line  2969:  Window:  EL2 South Win (G.WSW9.E14.W1)
Line  2983:  Interior Wall:  EL2 South Wall (G.WSW9.I30)
Line  2989:  Interior Wall:  EL2 East Wall (G.WSW9.I31)
Line  2995:  Interior Wall:  EL2 North Wall (G.WSW9.I32)
Line  3001:  Interior Wall:  EL2 East Wall (G.WSW9.I33)
Line  3007:  Exterior Wall:  EL2 North Wall (G.WSW9.E15)
Line  3013:  Window:  EL2 North Win (G.WSW9.E15.W1)
Line  3027:  Interior Wall:  EL2 Ceiling (G.WSW9.I34)
Line  3040:  Space:  EL2 Core Spc (G.C10)
Line  3067:  Interior Wall:  EL2 Flr (G.C10.I35)
Line  3073:  Interior Wall:  EL2 West Wall (G.C10.I36)
Line  3079:  Exterior Wall:  EL2 East Wall (G.C10.E16)
Line  3085:  Window:  EL2 East Win (G.C10.E16.W1)
Line  3099:  Interior Wall:  EL2 East Wall (G.C10.I37)
Line  3105:  Exterior Wall:  EL2 North Wall (G.C10.E17)
Line  3111:  Window:  EL2 North Win (G.C10.E17.W1)
Line  3125:  Interior Wall:  EL2 Ceiling (G.C10.I38)
Line  3131:  Space:  EL2 Plnm (G.11)
Line  3143:  Exterior Wall:  EL2 West Wall (G.11.E18)
Line  3149:  Exterior Wall:  EL2 South Wall (G.11.E19)
Line  3155:  Exterior Wall:  EL2 West Wall (G.11.E20)
Line  3161:  Exterior Wall:  EL2 South Wall (G.11.E21)
Line  3167:  Exterior Wall:  EL2 East Wall (G.11.E22)
Line  3173:  Exterior Wall:  EL2 North Wall (G.11.E23)
Line  3179:  Exterior Wall:  EL2 East Wall (G.11.E24)
Line  3185:  Exterior Wall:  EL2 North Wall (G.11.E25)
Line  3191:  Exterior Wall:  EL2 Roof (G.11.E26)
Line  3209:  Master Meters:  MASTER-METERS 1
Line  3215:  Circulation Loop:  DHW Plant 1 Loop (1)
Line  3223:  HVAC System:  EL1 Sys1 (PSZ)
Line  3257:  Thermal Zone:  EL1 SW Perim Zn (G.SW1)
Line  3269:  Thermal Zone:  EL1 SW Perim Zn (G.SW2)
Line  3281:  Thermal Zone:  EL1 SSE Perim Zn (G.SSE3)
Line  3293:  Thermal Zone:  EL1 East Perim Zn (G.E4)
Line  3305:  Thermal Zone:  EL1 ENE Perim Zn (G.ENE5)
Line  3317:  Thermal Zone:  EL1 North Perim Zn (G.N6)
Line  3329:  Thermal Zone:  EL1 North Perim Zn (G.N7)
Line  3341:  Thermal Zone:  EL1 North Perim Zn (G.N8)
Line  3353:  Thermal Zone:  EL1 North Perim Zn (G.N9)
Line  3365:  Thermal Zone:  EL1 Core Zn (G.C10)
Line  3377:  Thermal Zone:  EL1 WNW Perim Zn (G.WNW11)
Line  3389:  Thermal Zone:  EL1 Pl Zn (G.12)
Line  3397:  HVAC System:  EL2 Sys1 (PSZ)
Line  3431:  Thermal Zone:  EL2 SW Perim Zn (G.SW1)
Line  3443:  Thermal Zone:  EL2 SSE Perim Zn (G.SSE2)
Line  3455:  Thermal Zone:  EL2 East Perim Zn (G.E3)
Line  3467:  Thermal Zone:  EL2 ENE Perim Zn (G.ENE4)
Line  3479:  Thermal Zone:  EL2 North Perim Zn (G.N5)
Line  3491:  Thermal Zone:  EL2 North Perim Zn (G.N6)
Line  3503:  Thermal Zone:  EL2 North Perim Zn (G.N7)
Line  3515:  Thermal Zone:  EL2 North Perim Zn (G.N8)
Line  3527:  Thermal Zone:  EL2 WSW Perim Zn (G.WSW9)
Line  3539:  Thermal Zone:  EL2 Core Zn (G.C10)
Line  3551:  Thermal Zone:  EL2 Pl Zn (G.11)
Line  3559:  DW Heater:  DHW Plant 1 Wtr Htr (1)
Line  3575:  Day Schedule:  Cust 1 Elec Seas1 Day
Line  3580:  Week Schedule:  Cust 1 Elec Seas1 Week
Line  3585:  Annual Schedule:  Cust 1 Elec Season Sched
Line  3592:  Block Charge:  Cust 1 Elec Uniform Blk1
Line  3600:  Utility Rate:  Custom Elec Rate
Line  3605:  Loads Report
Line  3609:  Systems Report
Line  3613:  Plant Report
Line  3617:  Economics Report
Line  3622:  Hourly Report:  Hourly Report
Line  3626:  End



Counts of BDL Components:
-------------------------
     15 - Annual Schedule
     27 - Week Schedule
     36 - Day Schedule
      1 - Site Parameters
     18 - Construction
      1 - Glass Type
     23 - Space
     54 - Exterior Wall
     39 - Window
     69 - Interior Wall
     11 - Underground Wall
    229 - Set Default
      1 - Loads Report
